classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
214,Thalassiosira rotula,cylinder,h,hd*d,0.556084548,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,L,hd*width,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
215,Podosira stelligera,cylinder+2 half spheres,no,no,,(pi*(d^2)*((h/4)+(d/6))),(pi*d*(d+h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi*(length^2)*((width/4)+(length/6))),(pi*length*(length+width)),girdle,y
216,Melosira nummuloides,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
217,Melosira varians,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
218,Melosira arctica,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
219,Podosira stelligera,cylinder+2 half spheres,h,hd*d,0.580004286,(pi*(d^2)*((h/4)+(d/6))),(pi*d*(d+h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi*(length^2)*((width/4)+(length/6))),(pi*length*(length+width)),valvar,n
220,Coscinodiscus centralis,cylinder,h,hd*d,0.624265653,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+h),valvar,y
221,Coscinodiscus,cylinder,h,hd*d,0.624265653,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+h),valvar,y
222,Coscinodiscus perforatusvar.cellulosus,cylinder,h,hd*d,0.624265653,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+h),valvar,y
223,Thalassiosira eccentrica,cylinder,h,hd*d,0.556084548,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
224,Cymatosira,prism on parallelogram base,c,hd*a,0.260869565,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
226,Azpeitia nodulifera,cylinder,h,hd*d,0.517857143,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
229,Thalassionema,parallelepiped,b,hd*a,0.087339844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,y
230,Cyclotella,cylinder,h,hd*d,0.56,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
231,Cyclotella,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,y
232,Melosira,cylinder,h,hd*d,2.08,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
233,Melosira,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
235,Thalassionema frauenfeldii,parallelepiped,c,hd*a,0.079839844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,n
236,Thalassionema frauenfeldii,parallelepiped,b,hd*a,0.087339844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,y
238,Thalassionema,parallelepiped,c,hd*a,0.079839844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,n
239,Thalassionema pseudonitzschioides,parallelepiped,c,hd*a,0.079839844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,n
240,Leptocylindrus danicus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
241,Leptocylindrus minimus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
242,Leptocylindrus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
243,Leptocylindrus mediterraneus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
244,Triceratium,prism on tringular base1,see note,see note,,(((sqrt(3))/4)*c*(a^2)),(3*a*c)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
246,Odontella,prism on elliptic base,b,hd*a,0.440896359,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
247,Odontella sinensis,prism on elliptic base,b,hd*a,0.294117647,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
248,Trieres mobiliensis,prism on elliptic base,b,hd*a,0.514285714,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
249,Biddulphia,prism on elliptic base,b,hd*a,0.440896359,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
250,Dactyliosolen fragilissimus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
251,Dactyliosolen blavyanus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
252,Dactyliosolen,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
259,Guinardia flaccida,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
260,Skeletonema costatum,cylinder+2 half spheres,no,no,,(pi*(d^2)*((h/4)+(d/6))),(pi*d*(d+h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi*(width^2)*((length/4)+(width/6))),(pi*width*(width+length)),girdle,y
261,Skeletonema,cylinder+2 half spheres,no,no,,(pi*(d^2)*((h/4)+(d/6))),(pi*d*(d+h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi*(width^2)*((length/4)+(width/6))),(pi*width*(width+length)),girdle,y
262,Cyclotella meneghiniana,cylinder,h,hd*d,0.56,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
269,Thalassiophysa hyalina,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
270,Grammatophora marina,prism on elliptic base,c,hd*a,0.472222222,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
271,Grammatophora,prism on elliptic base,c,hd*a,0.472222222,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
273,Grammatophora oceanica,prism on elliptic base,c,hd*a,0.472222222,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
274,Bacillaria paxillifera,parallelepiped,b,hd*a,0.047883008,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,y
275,Bacillaria paxillifera,parallelepiped,c,hd*a,0.047315986,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,n
276,Bacillaria,parallelepiped,b,hd*a,0.047883008,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,y
278,Fragilaria,prism on elliptic base,c,hd*a,0.078913737,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
279,Fragilaria,prism on elliptic base,b,hd*a,0.073155092,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
280,Licmophora flabellata,gomphonemoid,c,hd*h,0.168056088,((h*b)/4*((h+(((pi/4)-1)*b)))*asin((c/(2*h)))),(b/2)*((2*h)+(pi*h*(asin(c/(2*h))))+(((pi/2)-2)*b)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,((length*width)/4*((length+(((pi/4)-1)*width)))*asin((c/(2*length)))),(width/2)*((2*length)+(pi*length*(asin(c/(2*length))))+(((pi/2)-2)*width)),valvar,n
282,Lithodesmium undulatum,prism on tringular base1,no,no,,(((sqrt(3))/4)*c*(a^2)),(3*a*c)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(((sqrt(3))/4)*width*(length^2)),(3*length*width)+(((sqrt(3))/2)*(length^2)),girdle,y
285,Chaetocerotaceae,prism on elliptic base,b,hd*a,0.073155092,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
290,Achnantales,prism on elliptic base,b,hd*a,0.341666667,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
292,Bellerochea,prism on tringular base1,no,no,,(((sqrt(3))/4)*c*(a^2)),(3*a*c)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(((sqrt(3))/4)*width*(length^2)),(3*length*width)+(((sqrt(3))/2)*(length^2)),girdle,y
293,Bellerochea horologicalis,prism on tringular base1,no,no,,(((sqrt(3))/4)*c*(a^2)),(3*a*c)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(((sqrt(3))/4)*width*(length^2)),(3*length*width)+(((sqrt(3))/2)*(length^2)),girdle,y
294,Rhabdonema adriaticum,parallelepiped,see note,see note,,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
295,Bellerochea horologicalis,prism on tringular base1,c,hd*a,0.548082208,(((sqrt(3))/4)*c*(a^2)),(3*a*c)+(((sqrt(3))/2)*(a^2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(((sqrt(3))/4)*c*(length^2)),(3*length*c)+(((sqrt(3))/2)*(length^2)),valvar,n
297,Biddulphia biddulphiana,prism on elliptic base,b,hd*a,0.440896359,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
298,Surirella,prism on elliptic base,b,hd*a,0.633333333,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
299,Surirella,prism on elliptic base,c,hd*a,0.55,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
301,Chaetoceros costatus,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
302,Chaetoceros coarctatus,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
303,Chaetoceros compressus,prism on elliptic base,b,hd*a,0.875,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
304,Chaetoceros lorenzianus,prism on elliptic base,b,hd*a,0.655555556,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
305,Chaetoceros affinis,prism on elliptic base,b,hd*a,0.827160494,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
306,Chaetoceros pseudocurvisetus,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
307,Chaetoceros constrictus,prism on elliptic base,b,hd*a,0.79254386,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
309,Chaetoceros laciniosus,prism on elliptic base,b,hd*a,0.848325359,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
310,Chaetoceros tenuissimus,prism on elliptic base,b,hd*a,0.8375,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
312,Chaetoceros subtilis,prism on elliptic base,b,hd*a,0.839583333,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
314,Chaetoceros didymus,prism on elliptic base,b,hd*a,0.5,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
315,Chaetoceros danicus,prism on elliptic base,b,hd*a,0.752922636,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
316,Attheya longicornis,prism on elliptic base,b,hd*a,1,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
317,Attheya,prism on elliptic base,b,hd*a,0.526530612,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
321,Chaetoceros costatus,prism on elliptic base,c,hd*a,1.27587564,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
322,Chaetoceros coarctatus,prism on elliptic base,c,hd*a,1.27587564,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
323,Chaetoceros compressus,prism on elliptic base,c,hd*a,1.35,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
324,Chaetoceros wighamii,prism on elliptic base,c,hd*a,0.836492417,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
328,Chaetoceros messanensis,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
329,Chaetoceros pseudocurvisetus,prism on elliptic base,c,hd*a,1.27587564,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
331,Chaetoceros didymus var.anglicus,prism on elliptic base,b,hd*a,0.5,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
350,Chaetoceros peruvianus,prism on elliptic base,b,hd*a,0.772284534,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
370,Bacteriastrum furcatum,cylinder,h,hd*d,1.541802543,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
371,Bacteriastrum furcatum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
375,Bacteriastrum,cylinder,h,hd*d,1.541802543,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
376,Bacteriastrum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
380,Bacteriastrum delicatulum,cylinder,h,hd*d,2.041505049,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
381,Bacteriastrum delicatulum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
384,Bacteriastrum elongatum,cylinder,h,hd*d,2.697600983,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
385,Bacteriastrum elongatum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
386,Bacteriastrum hyalinum,cylinder,h,hd*d,1.541802543,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
387,Bacteriastrum hyalinum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
388,Bacteriastrum comosum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
408,Akashiwo sanguinea,ellipsoid,b,hd*h,0.446903753,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,b,hd*length,(pi/6)*b*width*length,(pi/4)*(b+width)*(((b+width)/2)+(((2*(length^2))/((sqrt(4*length^2-((b+width)^2)))))*asin((sqrt(4*length^2-((b+width)^2)))/(2*length)))),Lateral,n
409,Akashiwo sanguinea,ellipsoid,c,hd*h,0.407256858,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
410,Prosoaulax lacustris,ellipsoid,c,hd*h,0.471237639,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
420,Achradina ,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),frontal,y
440,Cochlodinium,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
450,Ostreopsis,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
